user,rating,review,date,year
Lindsky O,5,Superb Scuba Trip,Apr 2025 • Solo,2025
Happiness40056703675,5,Best dive day,Apr 2025 • Solo,2025
Sam M,5,So much to see!,Apr 2025 • Couples,2025
Niklas E,5,5 stars,Apr 2025 • Couples,2025
Henk Jan B,5,Awesome dive resort!,Apr 2025 • Couples,2025
Anna-Lena E,5,Best ever,Apr 2025 • Couples,2025
Paradise22431030023,5,Fantastic trip.,Apr 2025 • Couples,2025
Phui Yie K,5,Chilling Place,Mar 2025 • Friends,2025
Ryan Ang R,5,Diving experience with mambo dive center,Apr 2025 • Couples,2025
Mariam Alejandr... V,5,Exceptional diving experience and instructor,Mar 2025 • Friends,2025
Natalia M,5,Mambo Dive is the best,Mar 2025 • Friends,2025
Connector660210,5,Dive with Mambo - you won’t regret it!,Mar 2025 • Solo,2025
Joshua S,5,Best Dive Centre in Penida / Professional & Friendly,Mar 2025 • Friends,2025
Clara J,5,Amazing dive center!,Mar 2025 • Solo,2025
Anaïs B,5,Mambo Dive,Jan 2025 • Friends,2025
Alexia M,5,"Welcoming, pro and luxury diving club, I recommend",Mar 2025 • Friends,2025
Florian D,5,Wonderfull dive center !,Mar 2025 • Friends,2025
harshita,5,Best resort in nusa,Mar 2025 • Couples,2025
43miias,5,"Amazing Dive Center, I can highly recommend it to everyone.",Mar 2025 • Couples,2025
Melibardet,5,Loved the experience,Mar 2025 • Solo,2025
Jess R,5,Loved it!!,Feb 2025 • Couples,2025
delpasso,5,Amazing,Feb 2025 • Solo,2025
Edgar A,5,"Manta Point and Mangroove dive. Punto my instructor, the best!",Feb 2025 • Friends,2025
Emma A,5,Incroyable,Feb 2025 • Friends,2025
Patricia LM,5,Incredible experience,Feb 2025 • Friends,2025
D W,5,Great diving,Feb 2025 • Solo,2025
Olivia M,5,The best experience ever,Feb 2025 • Friends,2025
Klara B,5,Best dive,Feb 2025 • Friends,2025
Wilma L,5,Above all expectations!,Feb 2025 • Friends,2025
Lisa G,5,Truly recommend!!,Feb 2025 • Friends,2025
Relax51388624109,4,Hervorragend,Feb 2025 • Couples,2025
Sören L,5,Special dive experience,Feb 2025 • Couples,2025
jaden s,5,Diving,Feb 2025 • Solo,2025
Isa K,5,"GO SNORKELING/DIVING WITH MAMBO DIVE CENTER, ITS THE BEST!",Feb 2025 • Couples,2025
Maarten Jongerius,5,See Manta's and Turtles,Feb 2025 • Couples,2025
渚樺 徐,5,Manta,Feb 2025 • Couples,2025
Mobile32194544905,5,A chance to see Black Mantra!,Feb 2025 • Friends,2025
주미 김,5,I love you best.,Feb 2025 • Family,2025
Inspire33284709922,5,Black Mantra's first spouse with Mamma Mia.,Feb 2025 • Family,2025
Геннадий Н,5,Snorkelling,Feb 2025 • Friends,2025
Maria K,5,Snorkelling February 2025,Feb 2025 • Friends,2025
changcun h,5,mambo dive center,Feb 2025 • Friends,2025
ferrer F,5,Diver's Choice,Feb 2025 • Friends,2025
Yangxuan L,5,Must try experience at Nusa Penida,Feb 2025 • Family,2025
Luci H,5,This is my first DSD,Feb 2025 • Friends,2025
Оксана,5,Diving with Mambo 💞,Feb 2025 • Couples,2025
Stella,4,Great team and incredible place to see the majestic manta rays!,Jan 2025 • Couples,2025
Jia,5,It's a great dive. It's a great dive shop.,Jan 2025 • Couples,2025
Rachel,5,Great diving experience with Mambo,Jan 2025 • Couples,2025
GrandTour45913275864,5,First Scuba Dive Nusa Penida,Jan 2025 • Solo,2025
Ji Young L,5,Mambo Dive Is the BEST,Jan 2025 • Couples,2025
Mille P,4,Beautiful beach,Jan 2025 • Friends,2025
Oliver D,5,"Manta Ray, Turtles, Pufferfish, Triggerfish and so much more",Jan 2025 • Couples,2025
Malene C,5,"Great service, trips and food",Jan 2025 • Couples,2025
kaka L,5,Good experience,Jan 2025 • Couples,2025
Curious64759112501,5,"Five Star Diving, Five Star Good",Jan 2025 • Couples,2025
Lorenz S,4,An Unforgettable Experience: Safe Travel and Immersive Cultural Insights with a Local Driver,Jan 2025 • Friends,2025
Nadege,5,Better experience!,Jan 2025 • Couples,2025
Fdiana,5,Amazing Dive Experience! ⭐⭐⭐⭐⭐,Jan 2025 • Couples,2025
Adam M,5,Second Visit to Mambo Dive Centre Consistently Excellent Experience,Jan 2025 • Couples,2025
Carlos,5,Super dive center,Jan 2025 • Couples,2025
Marisa,5,2 beautiful aisles Mantapoint,Jan 2025 • Couples,2025
agit suwandokk,5,Great,Jan 2025 • Couples,2025
regina o,5,Happy!,Jan 2025 • Couples,2025
Elsa A,5,Great first Dive with Mambo dive in Nusa Penida!,Jan 2025 • Couples,2025
Shriya,5,Excellent,Jan 2025 • Friends,2025
Urtė T,5,Amazing experience !,Jan 2025 • Friends,2025
Di F,5,Great dives with manta rays,Jan 2025 • Couples,2025
Martin V,5,5 manta ray encounters on one awesomely guided dive 🤙,Jan 2025 • Family,2025
Kathrin F,5,Diving in Nusa penida,Jan 2025 • Couples,2025
Floor V,5,Very nice trip!,Jan 2025 • Couples,2025
Boško N,5,Very nice,Jan 2025 • Solo,2025
Анна Ф,5,That's great.,Jan 2025 • Friends,2025
Cuba F,5,Snorkeling at Mambo Dive Resort,Jan 2025 • Couples,2025
Marcela B,5,"Amazing experience with mantas, turtles, fish and dolphins!!!",Jan 2025 • Couples,2025
Delphine D,5,Awsome expérience with Mambo dive resort,Jan 2025 • Friends,2025
Amit P,5,Thanks to all the mambo staff,Jan 2025 • Couples,2025
Мария Г,5,Thanks,Jan 2025 • Couples,2025
Go07522161446,5,Advance Certified here,Jan 2025 • Solo,2025
