user,rating,review,date,year
rene,4,Well,Aug 2024 • Family,2024
Martina B,4,Beautiful..,Aug 2024 • Family,2024
Chi N,4,Beautiful,May 2024 • Couples,2024
Nick M,5,"Great temple area, go visit",May 2024 • Couples,2024
Joëlle J,4,Beautiful temple on the water,Apr 2024 • Couples,2024
Manish K,2,Sunset view is good . No entry in temple. Mad traffic outside,May 2024 • Family,2024
Thibault V,5,Beautiful sunset,May 2024 • Friends,2024
Bernard L,4,To have,May 2024 • Couples,2024
Adriaan G,5,"A great experience, beautiful scenery and a must see when in Bali!",May 2024 • Couples,2024
roxa1956,5,"Hindu temple located on an islet, a destination for pilgrimages and tourists.",Apr 2024 • Friends,2024
Mabel,5,Tanah lot temple,Apr 2024 • Friends,2024
Kadek Lokal Guide,5,Tour,Apr 2024 • Business,2024
nhandrea,3,Highlight attraction???,Mar 2024 • Couples,2024
Roshan M,5,Bali trip,Mar 2024 • Family,2024
Yuhana,5,Holy vibes,Mar 2024 • Solo,2024
Trip To try,4,Is it worth it at sunset?,Aug 2023 • Couples,2023
edie209,5,"Tanah lot, it never disappoints",Apr 2023 • Couples,2023
Fabienne B,5,Tanah lot a beautiful view at sunset,Oct 2023 • Friends,2023
rvndr51,2,Tanah Lot temple,Feb 2024 • Family,2024
J E M,2,Beautiful temple sadly overshadowed by commercialism.,Feb 2024 • Friends,2024
Darren L,5,Beautiful Temple Location,Feb 2024 • Couples,2024
Kay W,5,Sunset,Feb 2024 • Solo,2024
Paul K,2,Not Worth the money,Jan 2024 • Solo,2024
Travelling Pixie,4,Stunning,Jan 2024 • Family,2024
Vinu,4,"Nice experience,  but crowded and bad day for a sunset",Nov 2023 • Family,2023
Shruthi P,4,Worth the hype!,Dec 2023 • Family,2023
AZCasualTraveler,5,Beautiful Temple on the Sea,Apr 2023 • Couples,2023
Keyur Panchal,5,Beautiful Site,Dec 2023 • Family,2023
scubacol11,4,Great place for sunsets.,Oct 2023 • Couples,2023
S.Akgul,5,Great🛕🛕🛕🛕,Dec 2023 • Couples,2023
Dirk W,3,The Tanah Lot temple,Nov 2023 • Couples,2023
Yasemin T,4,seaside temple,Dec 2023 • Couples,2023
Marlene Moteley,5,Gorgeous,Dec 2023 • Friends,2023
Edward Snowden,4,My experience,Nov 2023 • Friends,2023
markitiki,4,Impressive and Unique,Nov 2023 • Solo,2023
Branco A,4,Nice if you are in the area.,Nov 2023 • Couples,2023
Irman Novriandi,5,A temple in the rock,Apr 2023 • Couples,2023
Orin L,2,Overrated,Nov 2023 • Solo,2023
Ricky Shandy Setiawan,5,Tanah Lot is one of UNESCO Heritage Site.,Oct 2023 • Friends,2023
Larry M,5,Definitely a must-see when in Bali.,Nov 2023 • Couples,2023
Roberto G,4,Temple at the mercy of the tides,Sep 2023 • Friends,2023
travelwithoutmercy,3,Overhyped,Oct 2023 • Family,2023
ejane875,3,Nice sunset spot but nothing special,Oct 2023 • Solo,2023
Traveller102,3,"Beautiful sunset and coastline, but not a must!",Oct 2023 • Couples,2023
Ewan,5,A must when visiting Bali,Oct 2023 • Couples,2023
George,5,Amazing Temple,Oct 2023 • Couples,2023
Fatima Mohsin,3,Temple carved out of stone!,Oct 2023 • Couples,2023
bgtoca,4,Beautiful seaside temple,Oct 2023 • Family,2023
narathar,5,Beauty of nature and a place to see sunset,Sep 2023 • Family,2023
Richard D,4,"Beautiful site, too many tourists.",Sep 2023 • Couples,2023
Reisemaus6271,5,Worth a trip,Sep 2023 • Couples,2023
francis187,5,Tanah Lot Temple visit,Nov 2022 • Solo,2022
intansprei,5,Beautiful land lot,Sep 2023 • Couples,2023
Roy K,5,Breathtaking temple,Sep 2023 • Family,2023
Nicolas Slunsky,5,A must,Sep 2023 • Solo,2023
Yo13,4,See for some nice photos.,Sep 2023 • Couples,2023
ayu puspita,5,Amazing,Aug 2023 • Friends,2023
cramac,4,Very scenic,Aug 2023 • Solo,2023
🩶⚜️ 𝓝𝓪𝓽𝔂® ⚜️🩶,5,Tanah Lot Temple,Feb 2023 • Couples,2023
Vittorio B.,4,TO BE SEEN,Aug 2023 • Couples,2023
lyndawilson72,4,Photogenic island temple,Aug 2023 • Family,2023
michelbleau,5,Touristy but unmissable,Aug 2023 • Couples,2023
famillebloIs,5,Stunning,Aug 2023 • Family,2023
Sebastian M,5,Tanah Lot Temple,Aug 2023 • Family,2023
Didj67,4,Very beautiful temple on the water,Jul 2023 • Family,2023
Hany G,3,Holly temple!,Jul 2023 • Couples,2023
JudithTel_aviv,5,The place is simply beautiful from every angle and shrouded in mystery,Jul 2023,2023
Annie S,4,Try to visit at low tide,May 2023 • Couples,2023
Sandra G,4,Sunset on the temple,Jul 2023 • Couples,2023
Where_to_travel_next,5,Water temple,Jul 2023 • Friends,2023
UnbreakableSara,5,Truly a special place!,Jul 2023 • Friends,2023
Belle,5,Beautiful area.,Jun 2023 • Family,2023
