user,rating,review,date,year
Alysa G,5,Great performance and not too long (40ish minutes),Apr 2025 • Couples,2025
Candice S,5,Fantastic,Mar 2025 • Couples,2025
Global26549074899,5,"Uluwatu  Sunset, Kecak Dance and Donner Jimbaran Beach",Apr 2025 • Family,2025
Lorraine V,5,"Awesome guide for Kecak show, monkies and seafood dinner",Unknown date,Unknown
EJ L,5,GREAT TOUR ESPECIALLY WITH AJ!,Unknown date,Unknown
Danai S,5,Great way to spent a day in Uluwatu,Apr 2025 • Friends,2025
Helmut A,5,Memorable Uluwatu Experience,Apr 2025 • Family,2025
Rachel W,5,Darma Fun Driver,Apr 2025 • Family,2025
Solo mum traveller,5,"Fun, entertaining overall experience",Apr 2025 • Family,2025
Maps62271778896,5,Bucket list,Apr 2025 • Family,2025
Oksana S,5,Uluwatu,Apr 2025 • Solo,2025
Vicky C,5,Very nice sunset view and beautiful afternoon,Apr 2025 • Friends,2025
Ritambhara R,5,Uluwatu Trip,Apr 2025 • Friends,2025
neha,5,Excellent Uluwatu trip with Suta,Apr 2025 • Family,2025
Christine M,5,Helpful and accommodating,Apr 2025 • Solo,2025
Morgan E,5,Fantastic afternoon and evening,Apr 2025 • Family,2025
elodie d,5,Sunset,Apr 2025 • Family,2025
claire m,5,A great afternoon!,Unknown date,Unknown
Sunshine794954,5,"Uluwatu Sunset, Kecak Dance, and Dinner Jimbaran Beach",Apr 2025 • Couples,2025
Marcus L,5,Our slice of paradise,Unknown date,Unknown
Efua R,5,Great Experience,Unknown date,Unknown
Tegan C,5,Worth the visit,Apr 2025 • Solo,2025
Virginia L,5,Love your tour,Apr 2025 • Friends,2025
Shriver101,5,Fantastic trip!,Unknown date,Unknown
lidia m,5,"My guide, sir. Budi is the best of Bali",Unknown date,Unknown
Lydia Z,4,"Great sites, great guide.... so-so dinner.",Apr 2025 • Couples,2025
Stefie f,1,"Not to take this tour ,  not worth its",Unknown date,Unknown
Christine W,5,Great Bali Tour Experience,Unknown date,Unknown
naoko,5,Silawayan was the best guide!,Unknown date,Unknown
Eve,5,Great experience with Naya,Apr 2025 • Family,2025
mustafa s,5,"Wonderful ,mystical ,fascinating",Unknown date,Unknown
Dia M,5,Great experience,Apr 2025 • Family,2025
sofie d,5,must-do experience!,Mar 2025 • Solo,2025
Zaira C,5,Amazing Tour with Darma Fun Driver 👍,Unknown date,Unknown
