user,rating,review,date,year
BroomeHilda,5,"Fabulous, Relaxing, welcoming",Jul 2022 • Friends,2022
Jos H,5,Book a class with these great teachers! (And lovely people 😊),Jul 2022 • Solo,2022
Kimberly B,5,A true Balinese experience & escape from Ubud's hustle and bustle,Jul 2022 • Friends,2022
michefoley,5,Wonderful morning spent making batik,Jul 2022 • Friends,2022
duece8,5,WONDERFUL CLASS,Jul 2022,2022
Keira Mason,5,Great- in heart of Ubud- minutes from Palace,Jul 2022,2022
Milena,5,Thanks,Jun 2022 • Family,2022
Veena M,5,Batik Making in Ubud,Jun 2022 • Solo,2022
Janet T,5,The best batik making class in Bali,Jun 2022 • Couples,2022
Ava,5,Incredible experience with amazing teachers :),Jun 2022 • Couples,2022
Trek429618,5,Great family friendly batik class,Jun 2022 • Family,2022
Amelia K,5,Authentic Batik-Making with a Local Family,Jun 2022 • Solo,2022
Dorthea J,5,The best thing to do in Ubud!,Jun 2022 • Friends,2022
Natnael F,5,Unique experience,Jun 2022 • Couples,2022
Lee2959095,5,Class worth doing in Ubud,May 2022 • Solo,2022
pavi,5,Best batik class @bali,May 2022 • Couples,2022
Daniel_RuMe,5,Batik Painting Class in the Heart of Ubud,May 2022 • Couples,2022
Delphine C,5,Must do in Bali,May 2022 • Couples,2022
Carolita S,5,Excellent,May 2022 • Friends,2022
Jack Jang,5,Excellent,May 2022 • Couples,2022
Louis O,5,Definitely an excellent batik class,May 2022 • Solo,2022
Lina T,5,Amazing experience,Apr 2022 • Couples,2022
Noah E,5,Great experience,Jan 2022,2022
Lisaho,5,Memorable Batik Class,Oct 2021 • Family,2021
Lee,5,AWESOME!!!,Jun 2021 • Family,2021
Yuan,5,Recommended for those looking for a fun art workshop in Indonesia!,May 2021,2021
Alex H,5,Best Batik!,Mar 2021 • Solo,2021
Julien A,5,Great time!,Jan 2021 • Friends,2021
erika p,5,Beautiful Batik!,Jul 2019,2019
Doris M,5,Good teacher,Mar 2020 • Friends,2020
Nicole D,5,Amazing!!,Mar 2020 • Solo,2020
Jean,5,Excellent highly recommend this Batik class,Mar 2020 • Solo,2020
Mirjam T.,4,Interesting batik class at private home,Mar 2020 • Solo,2020
Benjamin R,5,Fun and relaxing,Feb 2020 • Couples,2020
Fleur E,5,Great batik class,Jan 2020 • Solo,2020
Paloma S,5,Batik class,Jan 2020 • Solo,2020
Amy P,5,Authentic experience.,Jan 2020 • Friends,2020
Ibu S,5,Amazing,Jan 2020 • Family,2020
Stephanie A,5,Amazing!,Jan 2020 • Family,2020
Renee P,5,So creative. So much fun!,Jan 2020 • Friends,2020
msga12,5,Great activity,Jan 2020 • Family,2020
Andrew D,5,Amazing Batik Class,Jan 2020 • Friends,2020
Traveler2026,5,The art and craft of Batik,Jan 2020 • Solo,2020
Ana L,5,Great batik class,Dec 2019 • Solo,2019
Annu B,5,Batik workshop for kids,Jan 2020 • Family,2020
Laura D,5,Amazing experience,Nov 2019,2019
Lavern V,5,Relaxing Creative Batik Experience,Dec 2019 • Solo,2019
wandergaya,5,Great time,Dec 2019 • Solo,2019
Nhathy,5,batik class,Dec 2019,2019
Miguel U,5,Beautiful!,Dec 2019 • Friends,2019
Ji Eun H,5,Batik class,Dec 2019 • Solo,2019
D. Belair,5,Great batik class!,Dec 2019,2019
Anna B,5,Amazing Batik Class,Dec 2019 • Friends,2019
